编号,资产类别,子类别,推荐指数（全收益/价格）,指数代码,数据频率,最小回溯期,收益率计算方式,备注 / 替代方案
1,权益类,A股大盘,沪深300全收益指数,000300.SH,月度,36个月,"对数收益率：$ r_t = \ln(P_t / P_{t-1}) $","若无全收益数据，可用 沪深300价格指数 + 分红再投资模拟；也可用ETF如 华泰柏瑞沪深300ETF (510300.OF) 净值"
2,权益类,A股中小盘,中证500全收益指数,000905.SH,月度,36个月,同上,"可替代为 南方中证500ETF (510500.OF) 净值序列"
3,权益类,成长/科技板块,科创50全收益指数,931077.CSI,月度,36个月,同上,"创业板指（399006.SZ）可作为补充或替代；注意科创50波动较高"
4,债券类,利率债（中长期）,中债-国开行债券总财富指数,CBA00101,月度,48个月,同上,"国开债流动性最好；也可用 10年期国开债到期收益率 构建久期匹配的价格模型"
5,债券类,高等级信用债,中债-企业债AAA总财富指数,CBA00601,月度,48个月,同上,"可替代为 中债-信用债总财富指数 或 鹏华信用债ETF (511000.OF)（若存在）"
6,债券类,可转债,中证可转债及可交换债指数,000832.SH,月度,36个月,同上,"波动性接近股票，需单独建模；也可使用 东财转债指数 作为参考"
7,商品类,黄金,上海黄金交易所 Au99.99 现货结算价,SGE.Au9999,月度,36个月,同上,"可替代为 华安黄金ETF (518880.OF) 单位净值，更贴近投资者实际回报"
8,商品类,工业金属,南华金属指数（总回报形式）,NHMI.NH,月度,36个月,"同上（期货需考虑展期收益模拟）","若无法获取总回报版本，可用 沪铜主力合约连续价格（CU.F.DCE）代替，但需处理移仓损耗问题"
9,商品类,能源化工,南华能化指数（总回报）,NENI.NH,月度,36个月,同上,"可用原油主力合约（SC.F.INE）代表能源部分"
10,商品类,综合商品,南华商品综合指数（总回报）,NCI.NH,月度,48个月,同上,"是国内最完整的商品代理变量；若不可得，可用黄金+铜+原油加权合成"
11,现金类,现金等价物,中证同业存单AAA指数,H11026.CSI,月度,36个月,同上,"表征货币基金表现，接近无风险利率；可替代为 SHIBOR 3M 年化持有收益转换为月度复利增长路径"
12,另类资产,公募REITs,中证REITs全收益指数,H30417.CSI,月度,24个月（最低）,同上,"历史较短（2021年起），可用于增强通胀对冲能力；也可跟踪 建信中关村REIT 等代表性产品"
