product_code,product_name,asset_class,sub_category,initial_investment_cny_ten_thousands,current_market_value_cny_ten_thousands,unrealized_return_rate,allocation_percentage,risk_level
PAMMF01,平安日添利货币基金,现金类,现金类,30.00,29.85,-0.005,0.0487,R1
PAMMF02,平安灵活宝现金管理,现金类,现金类,20.00,19.90,-0.005,0.0325,R1
PABND01,平安中短债纯债基金,固收类,纯债,60.00,55.20,-0.080,0.0901,R2
PABND02,平安信用债精选基金,固收类,纯债,50.00,44.50,-0.110,0.0727,R2
PABND03,平安固收增强理财,固收类,固收+,70.00,60.90,-0.130,0.0995,R3
PAEQ01,平安均衡配置混合,权益类,股债混合,60.00,45.00,-0.250,0.0735,R3
PAEQ02,平安成长精选混合,权益类,股票型,90.00,63.00,-0.300,0.1030,R4
PAEQ03,平安沪深300指数增强,权益类,股票型,70.00,50.40,-0.280,0.0824,R4
PAALT01,平安商品及宏观策略,另类资产,商品及宏观策略,40.00,33.60,-0.160,0.0549,R4
PAALT02,平安量化对冲私募证券,另类资产,量化对冲,55.00,52.25,-0.050,0.0854,R5
PAALT03,平安产业成长私募股权基金,另类资产,PE/VC 股权,220.00,187.00,-0.150,0.3058,R5
